RT,ISI,Median
376,1915,376
291,1510,334
296,1155,321
364,154,332
338,1679,333
303,1360,328
299,1524,324
302,1482,321
297,2287,319
474,344,334
367,377,337
287,2283,333
355,696,335
319,619,333
307,443,332
295,771,329
299,1784,328
259,1128,324
359,511,326
308,989,325
267,1692,322
275,1709,320
392,175,323
312,2164,323
362,155,324
365,2190,326
320,610,325
304,584,325
301,460,324
317,1469,324
326,244,324
360,282,325
305,1196,324
381,861,326
337,514,326
280,1572,325
342,1078,325
320,429,325
329,117,325
263,883,324
323,163,324
296,1420,323
298,213,323
306,2422,322
323,722,322
283,2288,321
278,1235,320
318,2398,320
295,913,320
368,897,321
274,1514,320
292,1689,319
286,1858,319
293,962,318
329,1992,318
310,2265,318
285,1055,318
281,1559,317
269,1415,316
284,933,316
275,1039,315
405,162,316
366,169,317
325,1707,317
327,1374,318
280,1047,317
283,917,316
254,2264,316
301,2439,315
301,2447,315
249,1248,314
332,610,314
301,1642,314
293,1002,314
377,362,315
363,763,315
321,525,316
282,1981,315
319,1536,315
274,1709,315
299,1497,314
317,1742,314
306,904,314
312,2268,314
296,1560,314
358,681,315
687,1066,319
356,1485,319
424,330,321
305,358,320
292,2066,320
301,2481,320
324,1652,320
310,1950,320
336,170,320
386,1434,321
304,1916,320
305,1275,320
311,2281,320
356,1869,321
356,952,321
393,316,322
340,1071,322
345,1115,322
332,801,322
307,1607,322
326,580,322
327,559,322
304,2151,322
342,1350,322
270,1549,322
292,1679,321
329,1060,321
291,882,321
332,2113,321
350,875,322
268,1443,321
302,647,321
325,1628,321
303,1277,321
316,1129,321
285,1585,320
262,2072,320
309,2362,320
264,1703,319
460,558,321
239,2267,320
371,2149,320
444,257,321
326,541,321
352,1811,322
294,2276,321
324,476,321
313,1630,321
288,636,321
323,2277,321
361,853,321
414,514,322
269,2276,322
302,783,322
274,2434,321
340,568,321
277,1397,321
324,1517,321
323,1210,321
344,850,321
311,870,321
302,1025,321
315,1806,321
390,421,321
287,2332,321
349,354,321
259,1917,321
319,2009,321
307,777,321
283,1009,321
314,507,321
247,752,320
302,1388,320
285,2243,320
288,772,320
274,584,319
284,1101,319
303,1169,319
130,1445,318
436,101,319
295,827,318
310,1813,318
314,2359,318
323,2439,318
317,1107,318
315,1946,318
285,1723,318
300,2287,318
340,850,318
405,149,319
341,282,319
360,1882,319
286,1165,319
322,278,319
296,953,319
307,1910,319
327,1700,319
343,991,319
347,1399,319
468,1626,320
445,126,320
353,2353,321
324,2004,321
454,804,321
1466,238,327
316,1448,327
335,339,327
293,1309,327
344,1953,327
600,234,329
296,1838,328
351,212,329
333,358,329
344,2456,329
